game_id,player_id,Player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
8,,Darnell Morris Jr.,14,2-5,1-3,0-0,0,1,1,1,2,1,1,0,5
8,12.0,Peter Capan,7,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0
8,16.0,Can Dalli,19,9-13,5-9,1-1,0,2,2,0,4,0,1,2,24
8,20.0,Alex Miller,18,3-4,0-0,0-1,0,5,5,1,0,0,2,2,6
9,8.0,Liech Kong,29,3-6,1-4,4-4,0,6,6,2,0,0,2,0,11
9,2.0,Onterio Miller,30,2-9,1-3,4-4,1,2,3,1,0,0,2,3,9
9,3.0,Darrell Green,29,8-8,3-3,0-1,2,1,3,0,0,1,2,1,19
9,6.0,Jaden Workman,30,3-8,0-2,2-2,0,4,4,3,0,2,4,4,8
9,16.0,Can Dalli,24,2-6,1-3,0-0,1,1,2,1,1,0,2,1,5
9,1.0,Brandon Joseph,7,1-1,0-0,0-0,1,2,3,0,0,0,2,3,2
9,7.0,Josiah Gregg,2,1-3,0-0,0-0,1,0,1,0,0,0,0,0,2
9,9.0,Mal Graham,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
9,,Darnell Morris Jr.,21,1-3,0-2,2-2,1,1,2,0,0,0,4,0,4
9,12.0,Peter Capan,6,2-2,1-1,0-0,0,0,0,1,0,0,2,1,5
9,13.0,David Nwankwo,1,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
9,14.0,Frank Pena,4,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
9,17.0,BJ Smith,3,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0
9,19.0,Jon Perry,1,0-0,0-0,2-2,0,0,0,0,0,0,0,0,2
9,20.0,Alex Miller,11,1-4,0-0,0-0,2,2,4,1,0,1,0,1,2
10,8.0,Liech Kong,32,2-4,0-1,0-0,0,4,4,1,0,1,1,4,4
10,3.0,Darrell Green,21,2-9,1-3,2-4,2,2,4,0,0,0,3,1,7
10,6.0,Jaden Workman,18,3-4,0-0,0-0,1,0,1,0,1,0,3,1,6
10,11.0,Jacob Morgan,28,3-10,0-1,0-0,2,5,7,3,4,0,1,1,6
10,16.0,Can Dalli,20,3-10,3-10,2-3,0,0,0,0,0,0,2,0,11
10,1.0,Brandon Joseph,11,0-3,0-1,1-4,2,1,3,0,0,1,0,1,1
10,2.0,Onterio Miller,21,7-12,2-7,0-0,1,5,6,1,1,1,3,0,16
10,5.0,Thomas Lewis,11,1-4,1-3,0-0,1,0,1,3,0,0,0,0,3
10,7.0,Josiah Gregg,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
10,9.0,Mal Graham,3,0-2,0-1,0-0,0,0,0,0,0,0,1,1,0
10,,Darnell Morris Jr.,12,0-4,0-2,0-0,0,0,0,1,1,0,2,1,0
10,12.0,Peter Capan,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
10,15.0,Jordan Price,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
10,17.0,BJ Smith,5,0-2,0-1,0-0,1,1,2,1,0,0,1,0,0
