game_id,Player,Player_and_number,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
6,David Nwankwo,23David Nwankwo,8,0-3,0-1,"""1-4""",2,3,5,0,0,0,0,0,1
6,Frank Pena,25Frank Pena,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
6,Jordan Price,31Jordan Price,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
6,Can Dalli,32Can Dalli,17,"""2-7""","""1-5""",0-1,1,2,3,1,0,0,1,0,5
6,BJ Smith,40BJ Smith,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
6,Jon Perry,44Jon Perry,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
6,Alex Miller,45Alex Miller,6,"""1-4""",0-0,"""2-3""",3,1,4,1,0,0,2,2,4
6,TEAM,TMTEAM,,,,,2,3,5,,,,0,0,
6,TALS,TOTALS,,20-69,"""5-23""","""10-19""",15,31,46,7,8,4,18,18,55
6,,,,29.00%,21.70%,52.60%,,,,,,,,,
7,ARTERS,STARTERS,,,,,,,,,,,,,
7,Liech Kong,F14Liech Kong,21,"""1-5""",0-0,0-0,1,3,4,0,1,1,2,2,2
7,Onterio Miller,G01Onterio Miller,15,0-3,0-1,0-0,0,2,2,0,0,0,1,0,0
7,Darrell Green,G02Darrell Green,26,"""3-9""",0-4,"""1-2""",1,7,8,1,3,0,4,2,7
7,Jaden Workman,G11Jaden Workman,23,"""6-6""","""1-1""",0-0,0,2,2,3,2,0,1,3,13
7,Jacob Morgan,G21Jacob Morgan,31,"""6-8""",0-2,"""2-2""",1,7,8,4,1,0,4,0,14
7,SERVES,RESERVES,,,,,,,,,,,,,
7,Brandon Joseph,F00Brandon Joseph,7,"""1-2""",0-0,0-0,1,3,4,0,0,1,1,1,2
7,Thomas Lewis,G05Thomas Lewis,6,0-1,0-1,0-0,0,0,0,1,0,0,0,1,0
7,Josiah Gregg,F12Josiah Gregg,4,"""1-3""",0-0,0-0,0,0,0,0,0,0,1,1,2
7,Mal Graham,G15Mal Graham,2,"""1-1""",0-0,0-0,0,0,0,0,0,0,0,1,2
7,Darnell Morris Jr.,G20Darnell Morris Jr.,17,"""2-4""","""1-2""","""2-4""",0,2,2,0,0,0,2,0,7
7,Peter Capan,G22Peter Capan,7,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
7,David Nwankwo,F23David Nwankwo,5,0-1,0-0,0-0,0,1,1,0,1,0,0,0,0
7,Frank Pena,G25Frank Pena,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
7,Jordan Price,G31Jordan Price,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
7,Can Dalli,G32Can Dalli,18,"""5-9""","""3-7""","""1-1""",0,1,1,1,1,0,0,2,14
7,BJ Smith,G40BJ Smith,1,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0
